0.005,210.4
0.01,174.1
0.015,165.8
0.02,168.5
0.025,176.2
0.03,174.7
0.035,169.4
0.04,166.1
0.045,173.5
0.05,176.7
0.055,172.1
0.06,167.5
0.065,168.0
0.07,169.9
0.075,167.7
0.08,169.6
0.085,168.7
0.09,169.2
0.095,168.4
0.1,175.5
0.105,173.5
0.11,175.6
0.115,175.1
0.12,174.4
0.125,178.9
0.13,183.8
0.135,183.4
0.14,179.2
0.145,180.9
0.15,178.0
0.155,176.7
0.16,178.2
0.165,178.6
0.17,180.5
0.175,177.0
0.18,177.9
0.185,179.0
0.19,177.9
0.195,177.8
0.2,176.1
0.205,176.3
0.21,176.2
0.215,178.9
0.22,178.8
0.225,178.7
0.23,178.2
0.235,177.1
0.24,177.0
0.245,181.9
0.25,181.5
